City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
336,bowen,75,AU,1565244649,51,-20.01,148.25,84.2,13.87
337,shahr-e babak,0,IR,1565244649,9,30.12,55.12,88.12,9.42
338,katsuura,40,JP,1565244650,79,33.93,134.5,87.8,19.46
339,faya,0,SA,1565244650,64,18.39,42.45,73.4,4.36
340,iranshahr,0,IR,1565244650,17,27.21,60.69,100.4,16.11
341,kysyl-syr,99,RU,1565244651,37,63.9,122.77,73.36,6.71
342,vila franca do campo,20,PT,1565244651,77,37.72,-25.43,66.2,8.05
343,kyzyl-suu,0,KG,1565244651,42,42.34,78.0,71.92,2.73
344,ios,0,GR,1565244651,69,36.73,25.28,79.0,9.17
345,ouargaye,47,BF,1565244652,89,11.5,0.06,73.72,6.89
346,ancud,40,CL,1565244652,93,-41.87,-73.83,35.6,5.82
347,wuxi,72,CN,1565244652,56,31.58,120.3,98.01,1.99
348,margate,75,AU,1565244653,65,-43.03,147.26,48.0,2.71
349,port augusta,90,AU,1565244653,55,-32.49,137.76,60.8,23.04
350,anloga,20,GH,1565244653,88,5.79,0.9,75.2,13.87
351,princeton,90,US,1565244654,100,40.35,-74.66,69.8,3.36
352,sola,19,TZ,1565244654,49,-3.17,33.8,73.36,6.02
353,iqaluit,90,CA,1565244654,100,63.75,-68.52,41.0,10.11
354,taltal,29,CL,1565244654,93,-25.41,-70.49,43.84,2.24
355,mold,20,GB,1565244655,93,53.17,-3.14,61.0,3.36
356,hasaki,20,JP,1565244655,56,35.73,140.83,100.0,10.29
357,jumla,97,NP,1565244655,50,29.28,82.18,74.08,6.64
358,mahajanga,0,MG,1565244656,56,-15.72,46.32,73.4,6.93
359,chupa,0,PE,1565244656,36,-15.11,-69.99,33.4,3.0
360,waitati,100,NZ,1565244656,57,-45.75,170.57,53.01,1.99
361,evensk,97,RU,1565244657,54,61.92,159.24,63.1,4.03
362,leh,0,IN,1565244657,31,34.16,77.58,54.46,5.17
363,lagoa,0,PT,1565244657,88,37.14,-8.45,69.01,6.93
364,ritini,0,GR,1565244657,61,40.29,22.29,82.0,0.47
365,marsh harbour,20,BS,1565244658,80,26.54,-77.06,83.98,14.88
366,champerico,40,MX,1565244658,83,16.38,-93.6,78.8,4.7
367,halmstad,20,SE,1565244659,82,56.67,12.86,64.99,9.17
368,antropovo,0,RU,1565244659,77,55.25,37.65,68.0,8.95
369,belaya gora,16,RU,1565244659,34,68.54,146.19,74.26,8.21
370,chokurdakh,21,RU,1565244660,48,70.62,147.9,67.6,14.03
371,srivardhan,99,IN,1565244660,82,18.03,73.02,82.18,22.86
372,agirish,93,RU,1565244660,86,61.92,63.02,51.4,7.61
373,amapa,75,HN,1565244660,88,15.09,-87.97,80.6,5.82
374,lazaro cardenas,46,MX,1565244661,71,28.39,-105.62,75.0,5.01
375,portlethen,90,GB,1565244661,93,57.05,-2.13,57.2,13.87
376,marzuq,23,YE,1565244661,25,14.4,46.47,86.68,6.13
377,itaituba,0,BR,1565244662,65,-4.26,-55.99,71.74,1.83
378,longonjo,75,AO,1565244662,82,-12.91,15.25,59.0,2.24
379,sao joao da barra,47,BR,1565244662,94,-21.64,-41.05,63.28,1.21
380,tateyama,40,JP,1565244662,50,36.66,137.31,95.0,10.29
